Legislatura,nome parlamentar,total_dias_de_mandato
54,RODRIGO BETHLEM,8
54,RODRIGO BETHLEM,212
54,RODRIGO BETHLEM,6
54,RODRIGO BETHLEM,3
54,RODRIGO BETHLEM,302
54,RODRIGO DE CASTRO,1460
54,RODRIGO GARCIA,90
54,RODRIGO GARCIA,30
54,RODRIGO GARCIA,299
54,RODRIGO MAIA,1460
54,ROGÉRIO CARVALHO,1460
54,ROGÉRIO MARINHO,224
54,ROGÉRIO MARINHO,54
54,ROGÉRIO MARINHO,348
54,ROGÉRIO PENINHA MENDONÇA,1460
54,ROMANNA REMOR,114
54,ROMÁRIO,1460
54,ROMERO RODRIGUES,517
54,ROMERO RODRIGUES,62
54,RONALDO BENEDET,1460
54,RONALDO CAIADO,1460
54,RONALDO FONSECA,1460
54,RONALDO NOGUEIRA,1014
54,RONALDO NOGUEIRA,105
54,RONALDO ZULKE,1460
54,ROSANE FERREIRA,1460
54,ROSE DE FREITAS,1460
54,ROSINHA DA ADEFAL,1429
54,ROSY DE SOUSA,40
54,RUBENS BUENO,1460
54,RUBENS OTONI,1460
54,RUI COSTA,338
54,RUI COSTA,273
54,RUI PALMEIRA,491
54,RUI PALMEIRA,85
54,RUY CARNEIRO,1460
54,SABINO CASTELO BRANCO,1460
54,SÁGUAS MORAES,161
54,SÁGUAS MORAES,481
54,SALVADOR ZIMBALDI,1460
54,SANDES JÚNIOR,1460
54,SANDRA ROSADO,1460
54,SANDRO ALEX,1460
54,SANDRO MABEL,1460
