ano,legislatura,anolegislatura,uf,partido,tipo,representatividade,distancia,vagas,eleitores,cota,valor
2016,55,2,AC,PSB,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",34,2246,8,506724,44260.60,1249.35
2015,55,1,AC,PSB,PASSAGEM AÉREA,34,2246,8,506724,44260.60,146662.26
2019,55,5,AC,PSD,LOCAÇÃO DE AUTOMÓVEIS,36,2246,8,506724,44260.60,2399.30
2016,55,2,AC,PCdoB,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,10,2246,8,506724,44260.60,824.53
2017,55,3,AC,MDB,COMBUSTÍVEIS E LUBRIFICANTES,65,2246,8,506724,44260.60,142494.73
2018,55,4,AC,PSB,LOCAÇÃO OU FRETAMENTO DE AERONAVES,34,2246,8,506724,44260.60,16000.00
2016,55,2,AC,PT,"PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS",68,2246,8,506724,44260.60,82.25
2015,55,1,AC,PT,LOCAÇÃO DE AUTOMÓVEIS,68,2246,8,506724,44260.60,229366.85
2015,55,1,AC,PSDB,TELEFONIA,54,2246,8,506724,44260.60,15227.79
2015,55,1,AC,DEM,MANUTENÇÃO DE ESCRITÓRIO,21,2246,8,506724,44260.60,26441.92
2019,55,5,AC,DEM,LOCAÇÃO DE AUTOMÓVEIS,21,2246,8,506724,44260.60,3531.81
2018,55,4,AC,DEM,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",21,2246,8,506724,44260.60,4331.91
2019,55,5,AC,PT,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,68,2246,8,506724,44260.60,273.61
2017,55,3,AC,PSDB,"PARTICIPAÇÃO EM CURSO, PALESTRA OU EVENTO SIMILAR",54,2246,8,506724,44260.60,4270.00
2016,55,2,AC,MDB,SERVIÇOS POSTAIS,65,2246,8,506724,44260.60,11350.02
2018,55,4,AC,PCdoB,DIVULGAÇÃO MANDATO,10,2246,8,506724,44260.60,41000.00
2021,56,3,AC,PROS,ASSESSORIA TÉCNICA/JURÍDICA,8,2246,8,547680,44260.60,170900.00
2020,56,2,AC,PDT,LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES,28,2246,8,547680,44260.60,25230.00
2020,56,2,AC,MDB,LOCAÇÃO OU FRETAMENTO DE AERONAVES,34,2246,8,547680,44260.60,63100.00
2023,56,5,AC,UNIÃO,LOCAÇÃO DE AUTOMÓVEIS,52,2246,8,547680,44260.60,6500.00
2020,56,2,AC,PROS,PASSAGEM AÉREA,8,2246,8,547680,44260.60,32122.62
2020,56,2,AC,UNIÃO,COMBUSTÍVEIS E LUBRIFICANTES,52,2246,8,547680,44260.60,28952.70
2019,56,1,AC,PDT,PASSAGEM AÉREA,28,2246,8,547680,44260.60,96627.17
2019,56,1,AC,REPUBLICANOS,ASSESSORIA TÉCNICA/JURÍDICA,30,2246,8,547680,44260.60,30000.00
2019,56,1,AC,MDB,ASSESSORIA TÉCNICA/JURÍDICA,34,2246,8,547680,44260.60,112600.00
2020,56,2,AC,MDB,MANUTENÇÃO DE ESCRITÓRIO,34,2246,8,547680,44260.60,9215.20
2019,56,1,AC,MDB,LOCAÇÃO OU FRETAMENTO DE AERONAVES,34,2246,8,547680,44260.60,48972.00
2020,56,2,AC,PROS,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,8,2246,8,547680,44260.60,206.93
2022,56,4,AC,PT,PASSAGEM AÉREA,54,2246,8,547680,44260.60,135512.25
2019,56,1,AC,REPUBLICANOS,LOCAÇÃO DE AUTOMÓVEIS,30,2246,8,547680,44260.60,54911.37
2020,56,2,AC,MDB,LOCAÇÃO DE AUTOMÓVEIS,34,2246,8,547680,44260.60,43285.25
2023,56,5,AC,MDB,DIVULGAÇÃO MANDATO,34,2246,8,547680,44260.60,66917.20
2019,56,1,AC,PCdoB,COMBUSTÍVEIS E LUBRIFICANTES,10,2246,8,547680,44260.60,35568.16
2022,56,4,AC,PROS,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,8,2246,8,547680,44260.60,32.00
2022,56,4,AC,REPUBLICANOS,COMBUSTÍVEIS E LUBRIFICANTES,30,2246,8,547680,44260.60,15707.93
2022,56,4,AC,PDT,PASSAGEM AÉREA,28,2246,8,547680,44260.60,107111.47
2021,56,3,AC,PROS,TELEFONIA,8,2246,8,547680,44260.60,4488.74
2021,56,3,AC,MDB,DIVULGAÇÃO MANDATO,34,2246,8,547680,44260.60,1147796.47
2019,56,1,AC,UNIÃO,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",52,2246,8,547680,44260.60,3066.01
2019,56,1,AC,PDT,ASSESSORIA TÉCNICA/JURÍDICA,28,2246,8,547680,44260.60,45186.00
2021,56,3,AC,UNIÃO,MANUTENÇÃO DE ESCRITÓRIO,52,2246,8,547680,44260.60,31173.56
2022,56,4,AC,PDT,TELEFONIA,28,2246,8,547680,44260.60,7964.86
2020,56,2,AC,UNIÃO,SERVIÇOS POSTAIS,52,2246,8,547680,44260.60,237.46
2020,56,2,AC,PT,COMBUSTÍVEIS E LUBRIFICANTES,54,2246,8,547680,44260.60,4114.86
2019,56,1,AC,UNIÃO,ASSESSORIA TÉCNICA/JURÍDICA,52,2246,8,547680,44260.60,105500.00
2021,56,3,AC,PDT,PASSAGEM AÉREA,28,2246,8,547680,44260.60,75848.69
2022,56,4,AC,PDT,LOCAÇÃO DE AUTOMÓVEIS,28,2246,8,547680,44260.60,96000.00
2023,56,5,AC,MDB,COMBUSTÍVEIS E LUBRIFICANTES,34,2246,8,547680,44260.60,5041.57
2021,56,3,AC,PDT,LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES,28,2246,8,547680,44260.60,16700.00
